title,authors,year,venue,doi,url,peer_reviewed,tier,target_protocol_or_traffic,attacker_model,defense_mechanism,timing_policy,sw_or_hw,platform,testbed,security_metric,overhead_metric,key_result,limitations,relevance_to_us,evidence_confidence
NetShaper: A Differentially Private Network Side-Channel Mitigation System,"Amir Sabzi, Rut Vora, Swati Goswami, Margo I. Seltzer, Mathias Lecuyer, Aastha Mehta",2024,USENIX Security,NA,https://www.usenix.org/conference/usenixsecurity24/presentation/sabzi,yes,2,"Network traffic (web, video)",Passive size/timing side-channel observer,Differentially private traffic shaping in a middlebox tunnel,DP-bounded padded release schedule,sw,Middlebox tunnel endpoints,"Testbed (video stream, web)",DP guarantee with tunable privacy/bandwidth/latency trade-off,DP formalization + privacy-vs-overhead trade-off reusable for our Pareto,Directly reusable evaluation framing; mechanism pads,high,NA,NA
Random Segmentation: New Traffic Obfuscation against Packet-Size-Based Side-Channel Attacks,"Mnassar Alyami, Abdulmajeed Alghamdi, Mohammed Alkhowaiter, Cliff Zou, Yan Solihin",2023,MDPI Electronics 12(18),10.3390/electronics12183816,https://www.mdpi.com/2079-9292/12/18/3816,yes,2,Encrypted TCP traffic,Passive packet-size analyst,Split large TCP segments into random-sized chunks (no dummy bytes),Byte-preserving random segmentation (size axis),sw,Software implementation,Testbed,Obfuscates packet-length distribution without added bytes,Very close to our CRC-boundary splitting (byte-preserving segmentation),Direct comparison for the split primitive; size not timing,high,NA,NA
RFC 6298 Computing TCP's Retransmission Timer,"V. Paxson, M. Allman, H.K.J. Chu, M. Sargent",2011,"IETF RFC (Standards Track, obsoletes RFC 2988)",10.17487/RFC6298,https://www.rfc-editor.org/rfc/rfc6298,no,4,TCP,NA,NA,RTO estimator (Jacobson/Karels),NA,NA,NA,NA,NA,Defines SRTT/RTTVAR/RTO with alpha=1/8 beta=1/4 K=4; min-RTO SHOULD round up to 1s; backoff RTO*2 on expiry; Karn's algo,Recommends 1s min RTO which Linux overrides to 200ms; standard not empirical,The normative source for the master's retransmit-timer budget that bounds our hold,high
RFC 1122 Requirements for Internet Hosts -- Communication Layers,R. Braden (Ed.),1989,"IETF RFC (Standards Track, STD 3)",10.17487/RFC1122,https://www.rfc-editor.org/rfc/rfc1122,no,4,TCP,NA,NA,delayed ACK,NA,NA,NA,NA,NA,Delayed-ACK max 0.5s; ACK at least every 2nd full-sized segment; immediate ACK on out-of-order,Ceiling only; OS timers are tighter,Bounds the piggyback window that makes response-time the same observable as ACK-time,high
RFC 5681 TCP Congestion Control,"M. Allman, V. Paxson, E. Blanton",2009,"IETF RFC (Standards Track, obsoletes RFC 2581)",10.17487/RFC5681,https://www.rfc-editor.org/rfc/rfc5681,no,4,TCP,NA,NA,fast retransmit/recovery; delayed ACK,NA,NA,NA,NA,NA,3 duplicate ACKs (dupthresh) trigger fast retransmit; immediate dup-ACK on out-of-order; ACK within 500ms,"Standard, not measurement",Defines the reordering->fast-retransmit failure mode we must avoid via FIFO,high
RFC 9293 Transmission Control Protocol (TCP),W. Eddy (Ed.),2022,"IETF RFC (Internet Standard STD 7, obsoletes RFC 793 et al.)",10.17487/RFC9293,https://www.rfc-editor.org/rfc/rfc9293,no,4,TCP,NA,NA,RTO (per RFC 6298); cumulative ACK/piggyback,NA,NA,NA,NA,NA,All established-state segments carry ACK info (piggyback); RTO MUST follow RFC 6298 incl. Karn,Consolidated spec; defers timer detail to RFC 6298,Establishes that ACK and response are one wire event (piggyback),high
RFC 7323 TCP Extensions for High Performance,"D. Borman, B. Braden, V. Jacobson, R. Scheffenegger (Ed.)",2014,"IETF RFC (Standards Track, obsoletes RFC 1323)",10.17487/RFC7323,https://www.rfc-editor.org/rfc/rfc7323,no,4,TCP,NA,NA,Timestamps option / RTTM,NA,NA,NA,NA,NA,Timestamps measure RTT on virtually every segment via TSval/TSecr; must be sent every non-RST segment once negotiated,More RTT samples have limited effect on RTO (cites Allman99),Explains the observed NOP-NOP-Timestamp sig and why the RTO estimator is well-converged (clamps to floor),high
RFC 3449 TCP Performance Implications of Network Path Asymmetry,"H. Balakrishnan, V.N. Padmanabhan, G. Fairhurst, M. Sooriyabandara",2002,IETF RFC (BCP 69),10.17487/RFC3449,https://www.rfc-editor.org/rfc/rfc3449,no,4,TCP (asymmetric paths),NA,ACK congestion control / ACK filtering / decimation,ACK thinning,NA,NA,NA,NA,NA,"Reducing ACK frequency causes sender bursting, slower cwnd growth (ACK-counted), weakened fast recovery; defines ACK compression","Targets bandwidth-asymmetric WAN, not LAN OT",Grounds the queue-buildup/cwnd side effects of delaying ACK-bearing segments,high
Congestion avoidance and control,V. Jacobson,1988,ACM SIGCOMM '88,10.1145/52324.52356,https://doi.org/10.1145/52324.52356,yes,2,TCP,NA,NA,RTT-variance-based RTO estimation,NA,software,NA,NA,NA,NA,Introduced the mean+variance RTT estimator and exponential backoff that RFC 6298 standardizes,1988 Internet conditions; superseded in detail by RFC 6298,Seminal origin of the RTO math that sets our delay ceiling
Understanding the performance of TCP pacing,"A. Aggarwal, S. Savage, T. Anderson",2000,IEEE INFOCOM 2000,10.1109/INFCOM.2000.832483,https://doi.org/10.1109/INFCOM.2000.832483,yes,2,TCP,NA,traffic pacing,pacing (spread segments over RTT),software,NA,simulation,NA,throughput/latency,Pacing smooths bursts and can help or hurt throughput vs bursty TCP depending on regime,Simulation-based; bulk-flow focus not OT-rate,Technique reference for principled paced release; caution that pacing has regime-dependent effects,med
